Issue Type,Summary,Description,Epic Name,Parent Summary,Priority
Epic,Architecture securisee de la plateforme mobile sante,"Concevoir l'architecture front-end, back-end, base de donnees et la separation des environnements avec un niveau de securite adapte aux donnees de sante.",Architecture securisee de la plateforme mobile sante,,High
Story,Definir l'architecture cible front back base de donnees,"Formaliser l'architecture Angular, Spring Boot, PostgreSQL, mobile et les flux principaux.",Architecture securisee de la plateforme mobile sante,,High
Subtask,Produire le schema d'architecture technique de reference,"Documenter les composants et leurs interfaces.",Architecture securisee de la plateforme mobile sante,Definir l'architecture cible front back base de donnees,Medium
Subtask,Definir les flux reseau entre mobile API base et services tiers,"Preciser les ports, protocoles et zones de securite.",Architecture securisee de la plateforme mobile sante,Definir l'architecture cible front back base de donnees,Medium
Story,Definir la strategie de securite applicative et mobile,"Poser les principes de securite pour l'API, les tokens, le mobile et les donnees de sante.",Architecture securisee de la plateforme mobile sante,,High
Subtask,Documenter les exigences JWT refresh token et logout,"Aligner la strategie de session sur les besoins de securite.",Architecture securisee de la plateforme mobile sante,Definir la strategie de securite applicative et mobile,Medium
Subtask,Definir les exigences OWASP mobile et API,"Selectionner les controles prioritaires pour l'application.",Architecture securisee de la plateforme mobile sante,Definir la strategie de securite applicative et mobile,Medium
Epic,Conception de la base de donnees medicale,"Modeliser les entites cles et la protection des donnees sensibles pour l'application de sante.",Conception de la base de donnees medicale,,High
Story,Modeliser patients medecins consultations et dossiers medicaux,"Concevoir le modele relationnel central du domaine medical.",Conception de la base de donnees medicale,,High
Subtask,Produire le MCD UML des entites medicales,"Inclure patients, professionnels, rendez-vous, consultations et dossiers.",Conception de la base de donnees medicale,Modeliser patients medecins consultations et dossiers medicaux,Medium
Subtask,Definir les relations et contraintes d'integrite,"Precisier les cardinalites, cles et regles de reference.",Conception de la base de donnees medicale,Modeliser patients medecins consultations et dossiers medicaux,Medium
Story,Proteger les donnees medicales sensibles en base,"Definir les champs sensibles, les regles de chiffrement et la gouvernance d'acces.",Conception de la base de donnees medicale,,High
Subtask,Identifier les champs a chiffrer ou pseudonymiser,"Lister les donnees sensibles au sens RGPD et metier.",Conception de la base de donnees medicale,Proteger les donnees medicales sensibles en base,High
Subtask,Definir la politique de retention et d'audit des donnees,"Tracer les acces et definir les regles de conservation.",Conception de la base de donnees medicale,Proteger les donnees medicales sensibles en base,Medium
Epic,Developpement des modules principaux,"Mettre en oeuvre les modules coeur de l'application mobile de gestion d'etablissement de sante.",Developpement des modules principaux,,Highest
Story,Developper la gestion des patients,"Permettre la creation, la consultation et la mise a jour des donnees patient.",Developpement des modules principaux,,High
Subtask,Creer les endpoints backend de gestion patient,"Prevoir CRUD, validation et securite.",Developpement des modules principaux,Developper la gestion des patients,High
Subtask,Concevoir les ecrans mobiles de gestion patient,"Assurer une UX mobile first claire et securisee.",Developpement des modules principaux,Developper la gestion des patients,Medium
Story,Developper la gestion des dossiers medicaux partages,"Permettre l'acces controle au dossier medical et son partage interne.",Developpement des modules principaux,,High
Subtask,Definir les regles d'acces au dossier medical,"Appliquer besoin d'en connaitre et tracabilite.",Developpement des modules principaux,Developper la gestion des dossiers medicaux partages,High
Subtask,Implementer la consultation et mise a jour du dossier,"Gerer historique, pieces jointes et audit.",Developpement des modules principaux,Developper la gestion des dossiers medicaux partages,High
Story,Developper la gestion des rendez-vous et preconsultations,"Couvrir choix du service, approbation, affectation et actes paramedicaux avant consultation.",Developpement des modules principaux,,Highest
Subtask,Implementer le workflow de rendez-vous par service,"Inclure demande, validation, planification et annulation.",Developpement des modules principaux,Developper la gestion des rendez-vous et preconsultations,High
Subtask,Implementer la check-list preconsultation,"Tracer les actes realises avant le medecin.",Developpement des modules principaux,Developper la gestion des rendez-vous et preconsultations,High
Story,Developper la gestion des utilisateurs et roles,"Gerber les comptes staff medical admin et patient avec droits differencies.",Developpement des modules principaux,,High
Subtask,Definir les roles et permissions fines de la plateforme,"Formaliser les habilitations par type d'utilisateur.",Developpement des modules principaux,Developper la gestion des utilisateurs et roles,High
Subtask,Mettre en place l'administration des comptes,"Prevoir creation, activation et revocation.",Developpement des modules principaux,Developper la gestion des utilisateurs et roles,Medium
Epic,Securisation des donnees,"Mettre en place les mecanismes de securite essentiels sur les donnees, les acces et les journaux.",Securisation des donnees,,Highest
Story,Implementer le hachage des mots de passe et la gestion des secrets,"Choisir les mecanismes de hachage et proteger les secrets applicatifs.",Securisation des donnees,,Highest
Subtask,Valider la strategie de hachage des mots de passe,"S'assurer de la conformite des parametres choisis.",Securisation des donnees,Implementer le hachage des mots de passe et la gestion des secrets,High
Subtask,Externaliser les secrets par environnement,"Sortir les secrets du code et definir leur rotation.",Securisation des donnees,Implementer le hachage des mots de passe et la gestion des secrets,High
Story,Implementer le chiffrement et le controle d'acces,"Chiffrer les donnees sensibles et securiser l'authentification et l'autorisation.",Securisation des donnees,,Highest
Subtask,Mettre en oeuvre le chiffrement des donnees sensibles,"Definir les champs et les mecanismes de chiffrement.",Securisation des donnees,Implementer le chiffrement et le controle d'acces,High
Subtask,Verrouiller l'authentification et les autorisations,"Appliquer JWT, refresh token, logout et permissions.",Securisation des donnees,Implementer le chiffrement et le controle d'acces,Highest
Story,Mettre en place la journalisation et la surveillance securite,"Tracer les acces, les echecs, les exports et les operations sensibles.",Securisation des donnees,,High
